,t1_general_traditional_WIN%,t2_general_traditional_WIN%,t1_general_traditional_PTS,t2_general_traditional_PTS,t1_general_traditional_BLK,t2_general_traditional_BLK,t1_general_traditional_+/-,t2_general_traditional_+/-,t1_general_advanced_NetRtg,t2_general_advanced_NetRtg,t1_general_advanced_PIE,t2_general_advanced_PIE,t1_general_opponent_Opponent's 3 Point Field Goal Percentage,t2_general_opponent_Opponent's 3 Point Field Goal Percentage,t1_general_opponent_Opponent's Steals,t2_general_opponent_Opponent's Steals,t1_clutch-traditional_Personal Fouls,t2_clutch-traditional_Personal Fouls,t1_clutch-advanced_Offensive Rebounding Percentage,t2_clutch-advanced_Offensive Rebounding Percentage,t1_clutch-advanced_Pace,t2_clutch-advanced_Pace,t1_clutch-advanced_Player Impact Estimate,t2_clutch-advanced_Player Impact Estimate,t1_seed,t2_seed,t1_general_traditional_FT%,t2_general_traditional_FT%,t1_general_advanced_DefRtg,t2_general_advanced_DefRtg,t1_general_advanced_POSS,t2_general_advanced_POSS,t1_general_defense_OPP_PTS_2ND_CHANCE,t2_general_defense_OPP_PTS_2ND_CHANCE,t1_clutch-traditional_Field Goal Percentage,t2_clutch-traditional_Field Goal Percentage,t1_clutch-traditional_Assists,t2_clutch-traditional_Assists
126,65.9,59.8,104.3,95.8,6.0,4.1,3.4,1.5,3.4,1.8,52.9,51.5,36.6,35.4,7.9,5.8,2.9,1.9,28.0,31.0,94.65,94.75,48.3,55.2,2.0,7.0,76.0,80.7,105.6,105.8,7848.0,7303.0,14.3,11.7,44.7,47.6,1.5,1.2
127,59.8,75.6,104.8,105.4,4.3,5.1,2.4,7.7,2.3,8.1,52.1,55.5,35.9,35.3,7.7,7.7,1.9,1.8,25.3,27.4,101.92,97.52,59.3,63.7,8.0,1.0,79.5,78.5,107.2,101.4,7852.0,7887.0,13.5,12.7,44.5,49.0,1.5,2.1
128,79.3,58.5,106.9,103.6,5.1,4.6,7.7,2.6,7.9,2.7,54.7,53.5,34.5,36.1,7.7,8.0,1.9,2.4,33.6,30.2,97.85,103.24,63.1,51.3,1.0,8.0,77.0,77.1,103.5,105.8,7874.0,7827.0,13.3,13.6,45.8,44.0,1.1,1.5
129,72.0,50.0,101.0,97.4,5.4,5.1,6.7,0.1,7.1,0.2,54.5,50.3,34.2,36.7,6.9,7.0,2.3,2.1,25.0,32.3,102.64,96.64,66.8,61.3,3.0,6.0,71.5,74.5,101.3,106.1,7649.0,7512.0,12.5,13.3,42.3,46.8,1.1,1.2
130,62.2,70.7,115.2,114.4,5.3,5.3,2.7,6.1,2.6,5.8,52.9,53.3,34.2,34.5,7.7,7.6,1.9,2.6,30.8,33.3,105.19,96.95,57.6,54.2,3.0,2.0,77.1,80.4,109.0,106.8,8467.0,8334.0,12.3,12.9,44.8,43.2,1.5,1.8
131,67.10000000000001,61.0,104.0,110.9,4.5,3.8,3.6,0.9,3.6,1.0,51.9,50.2,33.9,36.8,7.2,7.5,2.0,1.8,24.4,33.3,102.27,101.1,52.1,60.1,2.0,4.0,77.1,77.9,103.2,111.1,7987.0,8114.0,11.2,12.7,48.2,45.3,1.9,1.2
132,52.400000000000006,65.9,96.9,102.2,5.1,4.5,-0.2,4.8,-0.4,5.1,50.8,53.9,36.9,36.2,6.3,8.1,2.3,2.2,29.3,29.8,95.33,92.78,49.3,54.0,7.0,2.0,73.7,76.0,103.3,105.0,7712.0,7615.0,12.6,13.3,36.8,43.0,1.3,1.3
133,58.5,69.5,102.8,104.3,5.9,3.9,3.6,6.0,3.9,6.3,52.8,52.8,33.8,34.7,8.6,7.2,2.2,2.5,28.1,32.3,100.95,99.98,54.1,51.0,4.0,1.0,78.3,74.8,100.8,103.9,8059.0,7764.0,13.1,11.2,40.8,39.7,1.6,1.3
134,70.7,62.2,98.5,101.5,5.1,4.1,8.4,2.9,9.2,3.0,56.9,53.1,33.4,35.5,7.1,7.6,1.8,2.6,36.8,37.0,96.38,97.41,51.1,54.8,3.0,4.0,75.1,74.3,99.4,105.6,7440.0,7661.0,12.4,11.1,42.4,49.1,1.2,2.0
135,61.0,62.2,100.4,98.1,5.7,5.3,2.3,2.1,2.2,2.2,52.0,52.9,38.0,34.7,7.9,7.0,2.5,2.3,37.4,29.8,97.86,100.97,58.6,61.3,5.0,4.0,73.4,77.0,103.4,102.5,7797.0,7681.0,13.8,13.8,45.4,46.1,1.6,1.5
136,78.0,63.4,96.8,99.9,6.0,5.4,6.7,3.9,7.6,4.1,55.7,53.8,32.5,36.1,5.9,6.8,1.9,1.9,40.3,37.4,91.0,95.7,59.8,52.6,1.0,2.0,72.7,70.0,101.7,103.4,7268.0,7622.0,12.6,11.9,42.8,45.3,1.6,1.3
137,69.5,74.4,105.2,104.6,4.8,4.6,4.3,7.6,4.3,8.1,51.7,55.2,35.0,33.7,7.2,7.7,2.5,1.9,34.5,28.2,96.0,99.8,56.8,70.6,4.0,1.0,80.6,75.1,106.0,99.7,7823.0,7951.0,15.1,14.5,45.0,42.8,1.4,1.4
138,65.9,79.3,104.3,106.9,6.0,5.1,3.4,7.7,3.4,7.9,52.9,54.7,36.6,34.5,7.9,7.7,2.9,1.9,28.0,33.6,94.65,97.85,48.3,63.1,2.0,1.0,76.0,77.0,105.6,103.5,7848.0,7874.0,14.3,13.3,44.7,45.8,1.5,1.1
139,62.2,68.30000000000001,100.4,100.9,4.9,3.9,4.5,5.3,4.8,5.6,53.6,52.6,34.9,35.1,6.5,5.7,2.3,2.0,34.6,33.1,103.85,94.42,52.2,54.5,7.0,2.0,81.4,76.9,104.7,104.4,7518.0,7517.0,12.9,11.3,41.2,41.8,1.2,1.4
140,58.5,58.5,103.4,100.0,5.3,6.5,2.7,1.6,2.7,1.7,51.1,52.5,34.9,34.7,6.7,7.5,1.8,2.1,38.2,31.7,99.9,97.98,60.4,63.0,6.0,3.0,79.0,74.4,103.7,103.7,7966.0,7779.0,11.4,13.0,39.4,45.2,1.2,1.7
141,68.30000000000001,70.7,100.6,96.2,6.0,7.0,3.4,7.8,3.5,8.3,53.2,57.3,35.4,32.9,7.5,7.3,2.6,2.2,33.9,28.9,100.92,94.95,58.9,50.0,2.0,1.0,68.3,71.5,103.6,96.6,7710.0,7514.0,13.5,12.0,44.4,40.4,1.3,1.4
142,60.5,65.9,94.7,100.0,6.3,3.6,4.0,4.2,4.4,4.5,53.7,51.2,32.7,35.7,7.5,6.4,1.7,1.8,40.4,35.8,95.73,93.36,60.6,56.6,3.0,2.0,74.6,75.9,99.0,105.4,7420.0,7462.0,12.9,12.4,38.4,38.0,1.3,0.9
143,79.3,57.3,112.4,109.5,4.8,4.2,8.5,2.2,8.4,2.3,53.1,51.8,35.1,36.6,7.4,6.5,1.7,2.3,32.2,36.5,100.72,94.12,66.2,46.5,1.0,8.0,78.1,80.4,105.7,110.2,8078.0,7985.0,11.9,13.0,45.3,42.8,1.0,1.4
